Run,Activation,Optimizer,Dropout,L1_reg,L2_reg,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
40,relu,sgd,,0.001,,0.7674999833106995,10.287113189697266,0.7493000030517578,10.311378479003906
203,LeakyReLU,rmsprop,0.3,0.001,0.001,0.7673333287239075,1.3504196405410767,0.7470999956130981,1.3803929090499878
280,tanh,sgd,0.5,,,0.7671666741371155,0.6959807872772217,0.7498999834060669,0.7186004519462585
224,tanh,adam,,0.005,0.001,0.7663333415985107,1.3097954988479614,0.7551000118255615,1.332078456878662
105,relu,rmsprop,0.5,0.001,0.005,0.7661666870117188,1.313497543334961,0.7590000033378601,1.3395626544952393
263,tanh,sgd,0.2,,0.001,0.765999972820282,1.2827075719833374,0.7534000277519226,1.303206205368042
233,tanh,adam,0.2,0.005,0.001,0.76583331823349,1.3912190198898315,0.7534000277519226,1.4156837463378906
284,tanh,sgd,0.5,0.001,0.001,0.765666663646698,10.635682106018066,0.7440999746322632,10.658658981323242
39,relu,sgd,,,0.005,0.7649999856948853,3.44543194770813,0.7462000250816345,3.468743085861206
95,relu,rmsprop,0.3,0.001,0.001,0.7646666765213013,1.325051188468933,0.7581999897956848,1.3419618606567383
272,tanh,sgd,0.3,,0.001,0.7646666765213013,1.2778713703155518,0.7459999918937683,1.3003597259521484
275,tanh,sgd,0.3,0.001,0.001,0.7646666765213013,10.638778686523438,0.7426000237464905,10.659834861755371
274,tanh,sgd,0.3,0.001,,0.7646666765213013,10.226600646972656,0.7493000030517578,10.250885009765625
116,LeakyReLU,adam,,0.005,0.001,0.7643333077430725,1.3145959377288818,0.7488999962806702,1.3388652801513672
294,tanh,rmsprop,,0.001,0.005,0.7641666531562805,1.1597176790237427,0.7563999891281128,1.1797291040420532
145,LeakyReLU,sgd,,,,0.7641666531562805,0.7016369700431824,0.7491000294685364,0.7284586429595947
132,LeakyReLU,adam,0.3,0.001,0.005,0.7636666893959045,1.224795937538147,0.7494999766349792,1.2433974742889404
285,tanh,sgd,0.5,0.001,0.005,0.762499988079071,12.102803230285645,0.745199978351593,12.126955032348633
77,relu,rmsprop,,0.001,0.001,0.7620000243186951,1.2921379804611206,0.7476999759674072,1.3175019025802612
283,tanh,sgd,0.5,0.001,,0.7620000243186951,10.2135648727417,0.7437999844551086,10.234951972961426
261,tanh,sgd,,0.005,0.005,0.7616666555404663,29.288490295410156,0.746999979019165,29.310447692871094
259,tanh,sgd,,0.005,,0.7613333463668823,29.66656494140625,0.7483000159263611,29.68753433227539
268,tanh,sgd,0.2,0.005,,0.7611666917800903,29.78699493408203,0.7461000084877014,29.80946922302246
277,tanh,sgd,0.3,0.005,,0.7609999775886536,29.675859451293945,0.7465000152587891,29.69886589050293
270,tanh,sgd,0.2,0.005,0.005,0.7609999775886536,29.238513946533203,0.7441999912261963,29.257593154907227
47,relu,sgd,0.2,,0.001,0.7606666684150696,1.316558599472046,0.7439000010490417,1.339966058731079
37,relu,sgd,,,,0.7603333592414856,0.7318626046180725,0.7465999722480774,0.752139151096344
288,tanh,sgd,0.5,0.005,0.005,0.7601666450500488,29.037931442260742,0.7409999966621399,29.059566497802734
296,tanh,rmsprop,,0.005,0.001,0.7593333125114441,1.8006902933120728,0.7498000264167786,1.8181284666061401
150,LeakyReLU,sgd,,0.001,0.005,0.7590000033378601,12.196602821350098,0.7408999800682068,12.217851638793945
9,relu,adam,,0.005,0.005,0.7588333487510681,1.3167269229888916,0.7355999946594238,1.3469537496566772
8,relu,adam,,0.005,0.001,0.7588333487510681,1.3404537439346313,0.7457000017166138,1.3663502931594849
158,LeakyReLU,sgd,0.2,0.001,0.001,0.7584999799728394,10.734384536743164,0.7437000274658203,10.757184028625488
225,tanh,adam,,0.005,0.005,0.7584999799728394,1.370851755142212,0.7450000047683716,1.3917385339736938
287,tanh,sgd,0.5,0.005,0.001,0.7580000162124634,29.548315048217773,0.7373999953269958,29.569896697998047
41,relu,sgd,,0.001,0.001,0.7580000162124634,10.69270133972168,0.7466999888420105,10.715761184692383
278,tanh,sgd,0.3,0.005,0.001,0.7578333616256714,29.59859848022461,0.7430999875068665,29.620187759399414
260,tanh,sgd,,0.005,0.001,0.7571666836738586,29.664134979248047,0.738099992275238,29.68327522277832
282,tanh,sgd,0.5,,0.005,0.7566666603088379,3.4089882373809814,0.7441999912261963,3.4336764812469482
186,LeakyReLU,rmsprop,,0.001,0.005,0.7565000057220459,1.2322027683258057,0.7430999875068665,1.259448528289795
249,tanh,adam,0.5,0.001,0.005,0.7563333511352539,1.260457158088684,0.7433000206947327,1.2824000120162964
213,LeakyReLU,rmsprop,0.5,0.001,0.005,0.7561666369438171,1.3272508382797241,0.7445999979972839,1.350149393081665
104,relu,rmsprop,0.5,0.001,0.001,0.7555000185966492,1.4527820348739624,0.739300012588501,1.485673189163208
279,tanh,sgd,0.3,0.005,0.005,0.7551666498184204,29.176109313964844,0.7366999983787537,29.195653915405273
115,LeakyReLU,adam,,0.005,,0.7541666626930237,1.2922934293746948,0.7419000267982483,1.3175040483474731
269,tanh,sgd,0.2,0.005,0.001,0.7528333067893982,29.584604263305664,0.7386000156402588,29.604890823364258
76,relu,rmsprop,,0.001,,0.7526666522026062,1.2999117374420166,0.7457000017166138,1.3318145275115967
312,tanh,rmsprop,0.3,0.001,0.005,0.7526666522026062,1.2259589433670044,0.7445999979972839,1.2419703006744385
295,tanh,rmsprop,,0.005,,0.7515000104904175,1.8074136972427368,0.7396000027656555,1.8327330350875854
281,tanh,sgd,0.5,,0.001,0.7515000104904175,1.2734180688858032,0.7353000044822693,1.295243740081787
42,relu,sgd,,0.001,0.005,0.7509999871253967,12.23341178894043,0.7372999787330627,12.250191688537598
57,relu,sgd,0.3,,0.005,0.7508333325386047,3.5007731914520264,0.729200005531311,3.525879383087158
149,LeakyReLU,sgd,,0.001,0.001,0.7506666779518127,10.712862968444824,0.7350000143051147,10.731396675109863
117,LeakyReLU,adam,,0.005,0.005,0.750333309173584,1.3638745546340942,0.7405999898910522,1.3849153518676758
286,tanh,sgd,0.5,0.005,,0.750166654586792,29.698101043701172,0.7335000038146973,29.71869468688965
291,tanh,rmsprop,,,0.005,0.749833345413208,0.9131050705909729,0.7296000123023987,0.9490466117858887
321,tanh,rmsprop,0.5,0.001,0.005,0.7494999766349792,1.2863496541976929,0.7343000173568726,1.3094420433044434
155,LeakyReLU,sgd,0.2,,0.001,0.7493333220481873,1.3329392671585083,0.7354999780654907,1.354480504989624
156,LeakyReLU,sgd,0.2,,0.005,0.7483333349227905,3.464808702468872,0.7330999970436096,3.490950345993042
304,tanh,rmsprop,0.2,0.005,,0.7481666803359985,1.907146692276001,0.7376000285148621,1.929793357849121
124,LeakyReLU,adam,0.2,0.005,,0.7480000257492065,1.4909461736679077,0.7365000247955322,1.51156747341156
7,relu,adam,,0.005,,0.7475000023841858,1.3397338390350342,0.7343000173568726,1.3669053316116333
241,tanh,adam,0.3,0.005,,0.746833324432373,1.4390116930007935,0.739799976348877,1.457931399345398
125,LeakyReLU,adam,0.2,0.005,0.001,0.7465000152587891,1.4870089292526245,0.732699990272522,1.5073089599609375
168,LeakyReLU,sgd,0.3,0.001,0.005,0.7463333606719971,12.210681915283203,0.7263000011444092,12.234601974487305
157,LeakyReLU,sgd,0.2,0.001,,0.7453333139419556,10.286096572875977,0.730400025844574,10.307497024536133
311,tanh,rmsprop,0.3,0.001,0.001,0.7448333501815796,1.341840386390686,0.7376999855041504,1.36748206615448
232,tanh,adam,0.2,0.005,,0.7434999942779541,1.427545189857483,0.7368000149726868,1.4485468864440918
79,relu,rmsprop,,0.005,,0.7433333396911621,1.9324201345443726,0.7307999730110168,1.9577773809432983
17,relu,adam,0.2,0.005,0.001,0.7429999709129333,1.4940639734268188,0.7315000295639038,1.5129979848861694
297,tanh,rmsprop,,0.005,0.005,0.7421666383743286,1.9016817808151245,0.7296000123023987,1.9228421449661255
314,tanh,rmsprop,0.3,0.005,0.001,0.7419999837875366,1.9194488525390625,0.7254999876022339,1.9437919855117798
55,relu,sgd,0.3,,,0.7408333420753479,0.7854914665222168,0.7289000153541565,0.8077256679534912
48,relu,sgd,0.2,,0.005,0.7403333187103271,3.482978105545044,0.7276999950408936,3.5034852027893066
58,relu,sgd,0.3,0.001,,0.7396666407585144,10.313721656799316,0.7204999923706055,10.337876319885254
242,tanh,adam,0.3,0.005,0.001,0.7396666407585144,1.4397177696228027,0.7360000014305115,1.4581393003463745
292,tanh,rmsprop,,0.001,,0.7396666407585144,1.2446712255477905,0.7307000160217285,1.2687788009643555
51,relu,sgd,0.2,0.001,0.005,0.7391666769981384,12.223625183105469,0.7271000146865845,12.24427604675293
56,relu,sgd,0.3,,0.001,0.7384999990463257,1.352207064628601,0.7214999794960022,1.3752599954605103
126,LeakyReLU,adam,0.2,0.005,0.005,0.737500011920929,1.4782962799072266,0.7218000292778015,1.4978219270706177
160,LeakyReLU,sgd,0.2,0.005,,0.7361666560173035,29.821184158325195,0.7218999862670898,29.841516494750977
49,relu,sgd,0.2,0.001,,0.7360000014305115,10.311326026916504,0.7218000292778015,10.334015846252441
25,relu,adam,0.3,0.005,,0.7358333468437195,1.5395634174346924,0.7226999998092651,1.5576725006103516
167,LeakyReLU,sgd,0.3,0.001,0.001,0.7351666688919067,10.753335952758789,0.7128999829292297,10.777437210083008
46,relu,sgd,0.2,,,0.7351666688919067,0.7771214842796326,0.72079998254776,0.7997397184371948
59,relu,sgd,0.3,0.001,0.001,0.734666645526886,10.734987258911133,0.7178000211715698,10.757368087768555
153,LeakyReLU,sgd,,0.005,0.005,0.734666645526886,29.413841247558594,0.7232999801635742,29.432706832885742
44,relu,sgd,,0.005,0.001,0.734333336353302,29.722606658935547,0.7210000157356262,29.743778228759766
43,relu,sgd,,0.005,,0.734000027179718,29.928014755249023,0.7228999733924866,29.946413040161133
90,relu,rmsprop,0.2,0.005,0.005,0.7338333129882812,2.059767723083496,0.7182999849319458,2.083620548248291
164,LeakyReLU,sgd,0.3,,0.001,0.7336666584014893,1.3751589059829712,0.7179999947547913,1.3953076601028442
134,LeakyReLU,adam,0.3,0.005,0.001,0.7336666584014893,1.5382534265518188,0.722000002861023,1.5619139671325684
60,relu,sgd,0.3,0.001,0.005,0.7335000038146973,12.233622550964355,0.7211999893188477,12.253986358642578
163,LeakyReLU,sgd,0.3,,,0.7331666946411133,0.7813476324081421,0.7171000242233276,0.8070839643478394
16,relu,adam,0.2,0.005,,0.7323333621025085,1.5319873094558716,0.7221999764442444,1.552259087562561
